pop_size,generations,use_crossover,mutation_rate,seed,best_profit,lineA,lineB
100,100,True,0.05,1,8942740.44229573,"[""Reese's Miniatures"", 'Starburst', 'Kit Kat', 'Sour Patch Kids', 'Snickers', 'Milky Way']","[""Reese's Peanut Butter cup"", ""Hershey's Kisses"", '3 Musketeers', ""Reese's stuffed with pieces"", 'Twix', 'Milky Way Midnight', 'Nestle Butterfinger']"
100,100,True,0.05,2,9311882.380586125,"[""Reese's Miniatures"", ""Reese's Peanut Butter cup"", 'Starburst', 'Kit Kat', 'Skittles original', 'Snickers']","['Milky Way', '3 Musketeers', ""Reese's stuffed with pieces"", 'Twix', 'Milky Way Midnight', 'Nestle Butterfinger', 'Lifesavers big ring gummies', 'Twizzlers']"
100,100,True,0.05,3,8894661.422767144,"[""Reese's Miniatures"", ""Reese's Peanut Butter cup"", 'Starburst', 'Kit Kat', 'Skittles original', 'Snickers']","['Milky Way', '3 Musketeers', ""Reese's stuffed with pieces"", 'Sour Patch Tricksters', 'Twix', 'Milky Way Midnight', 'Nestle Butterfinger']"
100,100,True,0.1,1,9309915.899569875,"[""Reese's Miniatures"", ""Reese's Peanut Butter cup"", 'Starburst', 'Kit Kat', 'Sour Patch Kids', 'Snickers']","['Milky Way', '3 Musketeers', ""Reese's stuffed with pieces"", 'Twix', 'Milky Way Midnight', 'Nestle Butterfinger', 'Lifesavers big ring gummies', 'Twizzlers']"
100,100,True,0.1,2,9311882.380586125,"[""Reese's Miniatures"", ""Reese's Peanut Butter cup"", 'Starburst', 'Kit Kat', 'Skittles original', 'Snickers']","['Milky Way', '3 Musketeers', ""Reese's stuffed with pieces"", 'Twix', 'Milky Way Midnight', 'Nestle Butterfinger', 'Lifesavers big ring gummies', 'Twizzlers']"
100,100,True,0.1,3,8894661.422767144,"[""Reese's Miniatures"", ""Reese's Peanut Butter cup"", 'Starburst', 'Kit Kat', 'Skittles original', 'Snickers']","['Milky Way', '3 Musketeers', ""Reese's stuffed with pieces"", 'Sour Patch Tricksters', 'Twix', 'Milky Way Midnight', 'Nestle Butterfinger']"
100,100,True,0.2,1,9309915.899569876,"[""Reese's Miniatures"", 'Starburst', 'Kit Kat', 'Sour Patch Kids', 'Snickers', 'Milky Way']","[""Reese's Peanut Butter cup"", '3 Musketeers', ""Reese's stuffed with pieces"", 'Twix', 'Milky Way Midnight', 'Nestle Butterfinger', 'Lifesavers big ring gummies', 'Twizzlers']"
100,100,True,0.2,2,9311882.380586125,"[""Reese's Miniatures"", ""Reese's Peanut Butter cup"", 'Starburst', 'Kit Kat', 'Skittles original', 'Snickers']","['Milky Way', '3 Musketeers', ""Reese's stuffed with pieces"", 'Twix', 'Milky Way Midnight', 'Nestle Butterfinger', 'Lifesavers big ring gummies', 'Twizzlers']"
100,100,True,0.2,3,8894661.422767144,"[""Reese's Miniatures"", ""Reese's Peanut Butter cup"", 'Starburst', 'Kit Kat', 'Skittles original', 'Snickers']","['Milky Way', '3 Musketeers', ""Reese's stuffed with pieces"", 'Sour Patch Tricksters', 'Twix', 'Milky Way Midnight', 'Nestle Butterfinger']"
200,100,True,0.05,1,8556867.949136635,"[""Reese's Miniatures"", ""Reese's Peanut Butter cup"", 'Starburst', 'Kit Kat', 'Skittles original', 'Snickers']","['Sour Patch Kids', ""Hershey's Kisses"", 'Milky Way', '3 Musketeers', ""Reese's stuffed with pieces"", 'Twix']"
200,100,True,0.05,2,8944706.92331198,"[""Reese's Miniatures"", ""Reese's Peanut Butter cup"", 'Starburst', 'Kit Kat', 'Skittles original', 'Snickers']","[""Hershey's Kisses"", 'Milky Way', '3 Musketeers', ""Reese's stuffed with pieces"", 'Twix', 'Milky Way Midnight', 'Nestle Butterfinger']"
200,100,True,0.05,3,9007337.910325818,"[""Reese's Miniatures"", ""Reese's Peanut Butter cup"", 'Starburst', 'Kit Kat', 'Skittles original', 'Snickers']","['Sour Patch Kids', 'Milky Way', '3 Musketeers', ""Reese's stuffed with pieces"", 'Twix', 'Milky Way Midnight', 'Nestle Butterfinger']"
200,100,True,0.1,1,8944706.92331198,"[""Reese's Miniatures"", ""Reese's Peanut Butter cup"", 'Starburst', 'Kit Kat', 'Skittles original', 'Snickers']","[""Hershey's Kisses"", 'Milky Way', '3 Musketeers', ""Reese's stuffed with pieces"", 'Twix', 'Milky Way Midnight', 'Nestle Butterfinger']"
200,100,True,0.1,2,9007337.910325818,"[""Reese's Miniatures"", ""Reese's Peanut Butter cup"", 'Starburst', 'Kit Kat', 'Skittles original', 'Snickers']","['Sour Patch Kids', 'Milky Way', '3 Musketeers', ""Reese's stuffed with pieces"", 'Twix', 'Milky Way Midnight', 'Nestle Butterfinger']"
200,100,True,0.1,3,9007337.910325818,"[""Reese's Miniatures"", ""Reese's Peanut Butter cup"", 'Starburst', 'Kit Kat', 'Skittles original', 'Snickers']","['Sour Patch Kids', 'Milky Way', '3 Musketeers', ""Reese's stuffed with pieces"", 'Twix', 'Milky Way Midnight', 'Nestle Butterfinger']"
200,100,True,0.2,1,8556867.949136635,"[""Reese's Miniatures"", ""Reese's Peanut Butter cup"", 'Starburst', 'Kit Kat', 'Skittles original', 'Snickers']","['Sour Patch Kids', ""Hershey's Kisses"", 'Milky Way', '3 Musketeers', ""Reese's stuffed with pieces"", 'Twix']"
200,100,True,0.2,2,9007337.910325818,"[""Reese's Miniatures"", ""Reese's Peanut Butter cup"", 'Starburst', 'Kit Kat', 'Skittles original', 'Snickers']","['Sour Patch Kids', 'Milky Way', '3 Musketeers', ""Reese's stuffed with pieces"", 'Twix', 'Milky Way Midnight', 'Nestle Butterfinger']"
200,100,True,0.2,3,8944706.92331198,"[""Reese's Miniatures"", ""Reese's Peanut Butter cup"", 'Starburst', 'Kit Kat', 'Skittles original', 'Snickers']","[""Hershey's Kisses"", 'Milky Way', '3 Musketeers', ""Reese's stuffed with pieces"", 'Twix', 'Milky Way Midnight', 'Nestle Butterfinger']"
